first_name,last_name,store_id,lifetime_rentals,lifetime_payments
KARL,SEAL,2,45,221.55
ELEANOR,HUNT,1,46,216.54
CLARA,SHAW,1,42,195.58
RHONDA,KENNEDY,2,39,194.61
MARION,SNYDER,2,39,194.61
TOMMY,COLLAZO,1,38,186.62
WESLEY,BULL,2,40,177.60
TIM,CARY,1,39,175.61
MARCIA,DEAN,1,42,175.58
ANA,BRADLEY,2,34,174.66
JUNE,CARROLL,1,37,173.63
LENA,JENSEN,2,32,170.67
DIANE,COLLINS,1,35,169.65
ARNOLD,HAVENS,2,33,167.67
CURTIS,IRBY,2,38,167.62
MIKE,WAY,1,35,166.65
DAISY,BATES,1,38,162.62
TONYA,CHAPMAN,2,32,161.68
LOUIS,LEONE,1,35,161.65
GORDON,ALLARD,1,32,160.68
BRITTANY,RILEY,2,28,159.72
GUY,BROWNLEE,2,32,159.68
WARREN,SHERROD,2,33,159.67
MARGIE,WADE,1,36,159.64
MAE,FLETCHER,2,31,158.69
STEVE,MACKENZIE,2,34,158.66
PRISCILLA,LOWE,2,35,157.65
HARRY,ARCE,1,35,157.65
ARTHUR,SIMPKINS,1,32,155.68
MICHELLE,CLARK,1,35,155.65
TAMMY,SANDERS,2,41,155.59
SUE,PETERS,2,40,154.60
SHERRY,MARSHALL,1,34,153.66
NEIL,RENNER,2,32,152.68
SHAWN,HEATON,1,33,152.67
JESSICA,HALL,2,34,152.66
NAOMI,JENNINGS,1,35,152.65
LESLIE,SEWARD,2,35,152.65
BRANDON,HUEY,1,37,152.63
MARIA,MILLER,1,33,151.67
ALEX,GRESHAM,2,33,151.67
STACEY,MONTGOMERY,1,34,151.66
ALMA,AUSTIN,1,35,151.65
ALEXANDER,FENNELL,2,36,151.64
MARSHA,DOUGLAS,2,37,151.63
RALPH,MADRIGAL,2,34,150.66
BILLY,POULIN,1,35,149.65
DUANE,TUBBS,2,31,148.69
JACQUELINE,LONG,2,33,148.67
CHRISTOPHER,GRECO,1,31,147.69
ROSEMARY,SCHMIDT,1,35,147.65
GLADYS,HAMILTON,1,31,146.69
ZACHARY,HITE,1,31,146.69
ROGER,QUINTANILLA,2,36,146.64
WANDA,PATTERSON,1,30,145.70
NICHOLAS,BARFIELD,1,32,145.68
BERNICE,WILLIS,1,33,145.67
TROY,QUIGLEY,1,30,144.70
OLGA,JIMENEZ,2,32,144.68
TANYA,GILBERT,1,33,144.67
JANICE,WARD,2,34,144.66
ELIZABETH,BROWN,1,38,144.62
JERRY,JORDON,1,29,143.71
ROY,WHITING,2,29,143.71
SYLVIA,ORTIZ,2,32,143.68
VIOLET,RODRIQUEZ,1,30,142.70
RYAN,SALISBURY,2,30,142.70
CATHERINE,CAMPBELL,2,34,142.66
MINNIE,ROMERO,2,34,142.66
DEBRA,NELSON,1,29,141.71
GREG,ROBINS,1,30,141.70
LORI,WOOD,1,31,141.69
